Order_ID,Customer_ID,City,Restaurant_ID,Restaurant_Name,Cuisine,Order_Value,Delivery_Time(mins),Customer_Rating,Delivery_Partner_ID,Delivery_Partner_Rating,Commission_Earned(%),Distance_km,App_Session_Duration(sec),Used_Promo,Campaign_ID,Payment_Mode,Delivery_Status,New_User,Order_DateTime
OID100036,CID4733,Surat,RID42,Restaurant_112,Biryani,337.31,13,2.2,DID4878,2.6,13.4,4.62,53,No,CAM6,Net Banking,On Time,No,1/2/2023 12:00
OID100037,CID7268,Kolkata,RID55,Restaurant_100,Chinese,96.13,34,3.3,DID1348,4.4,21,3.94,198,Yes,CAM17,UPI,On Time,Yes,1/2/2023 13:00
OID100038,CID5881,Bangalore,RID154,Restaurant_83,Thai,239.37,37,2.5,DID2248,,20.7,6.12,54,Yes,CAM6,Cash,Late,Yes,1/2/2023 14:00
OID100039,CID7650,Mumbai,RID54,Restaurant_139,Italian,686.71,50,2.1,DID1860,2.6,13.9,2.57,173,Yes,CAM1,Net Banking,On Time,No,1/2/2023 15:00
OID100040,CID3259,Ahmedabad,RID101,Restaurant_75,South Indian,207.93,48,2.4,DID4065,4,16.3,6.55,270,No,CAM13,Wallet,On Time,Yes,1/2/2023 16:00
OID100041,CID9850,Bangalore,RID171,Restaurant_132,Thai,428.42,42,4.9,DID4036,2.5,19.3,2.86,322,Yes,CAM14,Wallet,On Time,Yes,1/2/2023 17:00
OID100042,CID1777,Delhi,RID34,Restaurant_74,South Indian,551.12,6,2.6,DID4700,3.6,13.8,3.66,75,Yes,CAM15,Cash,Cancelled,Yes,1/2/2023 18:00
OID100043,CID6420,Chennai,RID122,Restaurant_62,Street Food,211.76,43,4.8,DID3973,3.2,18.7,6.29,,Yes,CAM18,Credit Card,Cancelled,No,1/2/2023 19:00
OID100044,CID6472,Jaipur,RID100,Restaurant_183,Biryani,427.71,40,2.6,DID2408,3.3,12.3,5.51,229,No,CAM9,Wallet,On Time,Yes,1/2/2023 20:00
OID100045,CID1869,Jaipur,RID27,Restaurant_194,Continental,540.69,35,4.8,DID1867,2.5,13,2,260,Yes,CAM19,Credit Card,Cancelled,No,1/2/2023 21:00
OID100046,CID8299,Jaipur,RID119,Restaurant_145,Mexican,401.87,11,4,DID2690,4.9,13.3,6.63,265,Yes,CAM17,UPI,Cancelled,Yes,1/2/2023 22:00
OID100047,CID8279,Kolkata,RID105,Restaurant_60,Street Food,830.26,23,2.3,DID4709,3.8,23.9,4.68,318,No,CAM10,UPI,Cancelled,Yes,1/2/2023 23:00
OID100048,CID5533,Jaipur,RID70,Restaurant_7,Continental,149.71,18,3.7,DID3645,3.9,22.2,0.5,258,No,CAM8,Net Banking,Cancelled,No,1/3/2023 0:00
OID100049,CID1821,Delhi,RID182,Restaurant_194,Bakery,558.81,8,3,DID4487,4.2,17.6,2.81,190,No,CAM14,Credit Card,Late,No,1/3/2023 1:00
OID100050,CID7446,Surat,RID8,Restaurant_2,Mexican,374.08,32,3.1,DID3099,4.5,17.6,3.68,285,No,CAM6,UPI,On Time,Yes,1/3/2023 2:00
OID100051,CID6899,Chennai,RID197,Restaurant_71,Biryani,515.79,22,,DID1583,4,9,2.16,206,Yes,CAM9,UPI,Late,Yes,1/3/2023 3:00
OID100052,CID8356,Mumbai,RID171,Restaurant_111,Fast Food,466.2,64,3.3,DID1659,4.4,19,7.19,222,Yes,CAM3,Net Banking,Late,No,1/3/2023 4:00
OID100053,CID6497,Jaipur,RID71,Restaurant_16,Continental,290.03,30,4,DID1753,3.6,13.6,3.75,160,Yes,CAM17,Net Banking,Late,Yes,1/3/2023 5:00
OID100054,CID6774,Kolkata,RID11,Restaurant_58,Fast Food,434.35,48,4.3,DID1904,3.4,18.4,5.42,213,Yes,CAM13,Wallet,Cancelled,Yes,1/3/2023 6:00
OID100055,CID2311,Lucknow,RID72,Restaurant_180,North Indian,121.31,13,3,DID3526,,22.3,4.91,70,No,CAM5,UPI,Cancelled,No,1/3/2023 7:00
OID100056,CID6967,Hyderabad,RID187,Restaurant_81,South Indian,490.49,26,,DID4419,4.7,8.8,5.91,283,Yes,CAM7,Wallet,On Time,Yes,1/3/2023 8:00
OID100057,CID7505,Delhi,RID100,Restaurant_167,Thai,444.72,33,4.8,DID2035,2.8,18.3,7.85,119,No,CAM13,Net Banking,Late,No,1/3/2023 9:00
OID100058,CID3612,Hyderabad,RID87,Restaurant_183,Chinese,495.8,21,2.1,DID1795,3.9,17.6,5.85,129,No,CAM20,Net Banking,Late,No,1/3/2023 10:00
OID100059,CID4374,Surat,RID170,Restaurant_107,Street Food,558.72,27,2,DID1469,,11.5,7.99,14,No,CAM2,Credit Card,On Time,No,1/3/2023 11:00
OID100060,CID3994,Bangalore,RID94,Restaurant_1,Bakery,455.14,29,3.3,DID1742,2.7,19,5.9,134,Yes,CAM8,Credit Card,Cancelled,No,1/3/2023 12:00
OID100061,CID1159,Kolkata,RID26,Restaurant_182,Bakery,422.21,29,3.8,DID3748,4.8,17.4,4.76,123,No,CAM13,Net Banking,Late,No,1/3/2023 13:00
OID100062,CID1557,Chennai,RID21,Restaurant_137,Italian,267.84,54,2.8,DID4275,3.8,21,5.14,217,No,CAM6,Credit Card,On Time,Yes,1/3/2023 14:00
OID100063,CID9861,Surat,RID42,Restaurant_156,South Indian,293.17,37,2.8,DID3323,,9.9,0.5,96,No,CAM18,Cash,On Time,Yes,1/3/2023 15:00
OID100064,CID6460,Pune,RID142,Restaurant_179,Continental,578.01,38,4,DID4490,2.9,15.5,3.59,164,No,CAM20,UPI,Cancelled,Yes,1/3/2023 16:00
OID100065,CID6317,Kolkata,RID97,Restaurant_161,Bakery,615.45,38,3.8,DID1222,3.2,25,4.21,146,No,CAM3,UPI,Cancelled,Yes,1/3/2023 17:00
OID100066,CID2755,Chennai,RID60,Restaurant_128,Bakery,364.28,39,2.5,DID4487,2.8,19.7,5.38,59,No,CAM15,UPI,On Time,No,1/3/2023 18:00
OID100067,CID1696,Lucknow,RID130,Restaurant_10,North Indian,406.9,31,4.7,DID4076,3.2,19.6,4.45,219,Yes,CAM16,Wallet,Late,Yes,1/3/2023 19:00
OID100068,CID9083,Kolkata,RID21,Restaurant_99,Fast Food,264.31,28,4,DID4818,3.7,13.4,5.17,182,Yes,CAM11,Credit Card,Cancelled,Yes,1/3/2023 20:00
OID100069,CID6070,Ahmedabad,RID32,Restaurant_71,Biryani,575.91,34,3.1,DID3248,4.6,9.6,1.85,203,No,CAM13,Net Banking,Late,No,1/3/2023 21:00
OID100070,CID1451,Chennai,RID5,Restaurant_145,South Indian,499.81,46,4.1,DID2889,3.8,24.1,1.34,266,Yes,CAM13,UPI,On Time,No,1/3/2023 22:00
OID100071,CID2666,Mumbai,RID90,Restaurant_175,Biryani,691.18,46,2.3,DID3640,3.1,9.8,2.13,201,Yes,CAM6,UPI,Cancelled,No,1/3/2023 23:00
OID100072,CID4826,Lucknow,RID2,Restaurant_63,South Indian,268.25,29,3.4,DID3251,2.6,24.9,7.64,173,Yes,CAM2,Wallet,Cancelled,Yes,1/4/2023 0:00
OID100073,CID2633,Lucknow,RID35,Restaurant_121,Fast Food,343.3,41,,DID1299,4.1,10.1,1.96,274,No,CAM12,Net Banking,Late,Yes,1/4/2023 1:00
OID100074,CID2365,Mumbai,RID182,Restaurant_96,Italian,434.72,30,2.1,DID2190,3.6,10.9,2.92,174,No,CAM14,UPI,On Time,Yes,1/4/2023 2:00
OID100075,CID2640,Kolkata,RID34,Restaurant_160,Mexican,496.97,32,3,DID3751,5,13.2,4.71,160,Yes,CAM7,Wallet,Late,Yes,1/4/2023 3:00
OID100076,CID8580,Delhi,RID137,Restaurant_2,Fast Food,367.65,26,2.5,DID1275,4.4,16.7,1.32,254,No,CAM9,Credit Card,Cancelled,No,1/4/2023 4:00
OID100077,CID9315,Pune,RID184,Restaurant_73,North Indian,269.06,30,3.9,DID2026,4.5,21.4,2.76,138,Yes,CAM4,Credit Card,Cancelled,Yes,1/4/2023 5:00
OID100078,CID7355,Indore,RID155,Restaurant_73,Italian,532.21,48,4,DID1402,2.5,24.5,5.85,293,No,CAM4,Net Banking,On Time,No,1/4/2023 6:00
OID100079,CID2552,Surat,RID42,Restaurant_120,Thai,508.17,33,2.4,DID1808,4.4,14.1,3.62,213,No,CAM3,UPI,On Time,Yes,1/4/2023 7:00
OID100080,CID1312,Hyderabad,RID10,Restaurant_157,Continental,262.56,34,2.1,DID3972,3,8.3,7.87,326,No,CAM12,Net Banking,Late,Yes,1/4/2023 8:00
OID100081,CID3331,Lucknow,RID123,Restaurant_14,Chinese,603.32,15,4.4,DID3378,4,18.5,1.1,,Yes,CAM20,Wallet,Cancelled,No,1/4/2023 9:00
OID100082,CID6382,Surat,RID199,Restaurant_163,Biryani,575.53,28,2,DID2995,3.6,20.1,3.81,276,Yes,CAM11,Cash,Late,Yes,1/4/2023 10:00
OID100083,CID5832,Delhi,RID167,Restaurant_81,Continental,420.14,29,3,DID4897,3.9,14.8,3.62,69,Yes,CAM1,UPI,Late,Yes,1/4/2023 11:00
OID100084,CID8293,Kolkata,RID75,Restaurant_192,Bakery,411.94,22,3.5,DID2355,2.8,11.1,4.48,303,Yes,CAM8,Wallet,Late,Yes,1/4/2023 12:00
OID100085,CID7374,Chennai,RID174,Restaurant_142,Fast Food,483.11,32,4.5,DID2462,3.6,13.2,2.05,255,No,CAM10,Wallet,Cancelled,No,1/4/2023 13:00
OID100086,CID1884,Lucknow,RID163,Restaurant_63,Bakery,270.74,27,4.5,DID1525,2.6,19.1,3.34,148,Yes,CAM6,Credit Card,On Time,Yes,1/4/2023 14:00
OID100087,CID3902,Delhi,RID87,Restaurant_15,Continental,404.5,33,4.2,DID3749,2.6,16.4,6.08,269,No,CAM18,UPI,Late,No,1/4/2023 15:00
OID100088,CID3755,Lucknow,RID151,Restaurant_68,Biryani,77.14,33,,DID3684,4.1,20.6,3.96,99,No,CAM4,Net Banking,Late,No,1/4/2023 16:00
OID100089,CID1389,Indore,RID92,Restaurant_121,Thai,531.47,21,4.2,DID1960,4.9,11.7,2.36,160,Yes,CAM3,Net Banking,Cancelled,No,1/4/2023 17:00
OID100090,CID7653,Indore,RID44,Restaurant_4,Street Food,165.78,27,2.7,DID1409,4.4,22.3,8.66,132,Yes,CAM7,Net Banking,Cancelled,No,1/4/2023 18:00
OID100091,CID7077,Ahmedabad,RID135,Restaurant_33,North Indian,625.51,33,2.6,DID2167,3.7,10.7,4.6,274,Yes,CAM20,UPI,Cancelled,Yes,1/4/2023 19:00
OID100092,CID4830,Surat,RID184,Restaurant_126,Thai,350.48,46,3.6,DID3537,2.6,13.6,5.73,300,Yes,CAM1,Wallet,Late,Yes,1/4/2023 20:00
OID100093,CID6163,Delhi,RID35,Restaurant_168,Fast Food,368.25,35,4,DID1285,2.6,18.1,6.03,164,Yes,CAM10,Wallet,On Time,Yes,1/4/2023 21:00
OID100094,CID5391,Hyderabad,RID114,Restaurant_136,South Indian,305.84,24,2.2,DID4686,2.9,20.5,4.36,98,No,CAM7,Cash,On Time,Yes,1/4/2023 22:00
OID100095,CID2362,Chennai,RID200,Restaurant_148,Fast Food,356.79,37,2.2,DID1792,4.9,12.5,2.92,122,Yes,CAM18,UPI,Late,No,1/4/2023 23:00
OID100096,CID3902,Bangalore,RID108,Restaurant_7,Chinese,612.78,52,4.4,DID2301,3.5,24.1,4.9,207,No,CAM7,Cash,Cancelled,Yes,1/5/2023 0:00
OID100097,CID1010,Pune,RID126,Restaurant_41,Bakery,50,43,4.6,DID2990,4.6,20,3.1,202,No,CAM2,Wallet,Cancelled,No,1/5/2023 1:00
OID100098,CID2354,Surat,RID124,Restaurant_117,Street Food,591.54,39,3.8,DID2845,4.3,11.7,5.24,173,Yes,CAM8,Cash,Late,Yes,1/5/2023 2:00
OID100099,CID3215,Mumbai,RID70,Restaurant_109,North Indian,450.7,41,3.3,DID2344,4,20.3,4.17,134,Yes,CAM9,Cash,Cancelled,Yes,1/5/2023 3:00
OID100100,CID3985,Indore,RID47,Restaurant_68,Thai,218.95,49,4.5,DID3524,,19.8,6.56,330,No,CAM3,Credit Card,Cancelled,Yes,1/5/2023 4:00
OID100101,CID8171,Lucknow,RID53,Restaurant_95,Bakery,238.7,45,4.2,DID3700,3.1,20.8,2.22,150,Yes,CAM19,Cash,Cancelled,No,1/5/2023 5:00
OID100102,CID6140,Ahmedabad,RID160,Restaurant_30,Biryani,651.46,39,3.7,DID2252,3.6,23.6,5.94,133,No,CAM19,UPI,Cancelled,Yes,1/5/2023 6:00
OID100103,CID6854,Surat,RID54,Restaurant_49,Italian,258.17,45,3,DID3840,4.7,20.1,5.73,292,Yes,CAM2,UPI,Cancelled,Yes,1/5/2023 7:00
OID100104,CID1975,Delhi,RID82,Restaurant_2,Biryani,227,19,2.6,DID3392,3.9,14,4.02,177,Yes,CAM19,Credit Card,Late,No,1/5/2023 8:00
OID100105,CID1173,Mumbai,RID179,Restaurant_176,Street Food,570.6,14,3.3,DID1624,3.1,21.4,5.96,241,Yes,CAM16,Wallet,Late,No,1/5/2023 9:00
OID100106,CID3587,Jaipur,RID68,Restaurant_197,North Indian,450.78,34,2.9,DID3316,3,19.8,5.34,130,Yes,CAM2,Wallet,On Time,Yes,1/5/2023 10:00
OID100107,CID7843,Mumbai,RID56,Restaurant_13,Italian,259.31,33,3,DID3321,4.4,17.8,5.83,240,No,CAM2,UPI,Cancelled,Yes,1/5/2023 11:00
OID100108,CID1831,Indore,RID193,Restaurant_83,Mexican,432.49,25,3.5,DID2492,2.5,14,5.71,259,Yes,CAM11,Wallet,On Time,No,1/5/2023 12:00
OID100109,CID2293,Pune,RID59,Restaurant_162,Bakery,246.14,42,2.5,DID4308,4.8,23.7,4.6,111,No,CAM3,UPI,Late,No,1/5/2023 13:00
OID100110,CID6234,Jaipur,RID164,Restaurant_13,Street Food,565.12,10,4.4,DID2295,2.5,16.7,3.31,157,Yes,CAM10,Wallet,On Time,No,1/5/2023 14:00
OID100111,CID2818,Lucknow,RID117,Restaurant_31,Bakery,559.21,26,2.4,DID4926,4.1,18.7,3.28,128,No,CAM1,Credit Card,On Time,No,1/5/2023 15:00
OID100112,CID6525,Mumbai,RID50,Restaurant_160,Chinese,479.8,26,3.4,DID2754,4,15.1,4.07,158,No,CAM12,Wallet,Late,No,1/5/2023 16:00
OID100113,CID4515,Hyderabad,RID188,Restaurant_140,Mexican,454.25,12,4.2,DID1690,3.9,21.3,6.19,328,Yes,CAM10,Wallet,Late,Yes,1/5/2023 17:00
OID100114,CID3999,Kolkata,RID35,Restaurant_84,Mexican,664.18,50,3.5,DID1019,,13.8,5.76,221,Yes,CAM13,Cash,Cancelled,No,1/5/2023 18:00
OID100115,CID6685,Jaipur,RID184,Restaurant_126,Chinese,399.95,16,3.1,DID2282,4.6,21.8,6.51,356,No,CAM17,Credit Card,Late,Yes,1/5/2023 19:00
OID100116,CID5253,Bangalore,RID113,Restaurant_85,Italian,222.72,25,3.4,DID2008,,9.8,6.71,319,No,CAM7,Net Banking,On Time,No,1/5/2023 20:00
OID100117,CID8211,Lucknow,RID134,Restaurant_77,South Indian,467.42,43,4.5,DID4218,4.5,20.1,4.07,,No,CAM11,Net Banking,Cancelled,No,1/5/2023 21:00
OID100118,CID6567,Kolkata,RID56,Restaurant_124,Italian,712.91,40,5,DID1907,,16.1,8.42,316,No,CAM13,Cash,Late,Yes,1/5/2023 22:00
OID100119,CID1524,Ahmedabad,RID156,Restaurant_54,Chinese,247.79,19,3.9,DID3917,2.6,19.9,4.29,293,No,CAM12,Cash,Late,No,1/5/2023 23:00
OID100120,CID8177,Delhi,RID108,Restaurant_139,Thai,345.78,40,4.4,DID4030,2.6,17,3.51,336,Yes,CAM5,Credit Card,Cancelled,Yes,1/6/2023 0:00
OID100121,CID5628,Ahmedabad,RID198,Restaurant_131,Thai,462.47,35,2,DID3624,2.9,10.3,5.17,244,No,CAM4,UPI,Cancelled,No,1/6/2023 1:00
OID100122,CID1718,Chennai,RID192,Restaurant_199,Biryani,391.91,60,4.6,DID2786,4.2,16.1,5.47,,No,CAM11,Wallet,Late,No,1/6/2023 2:00
OID100123,CID9066,Bangalore,RID149,Restaurant_1,Continental,252.65,37,4.9,DID2133,3.7,24.4,3.02,,No,CAM14,UPI,On Time,Yes,1/6/2023 3:00
OID100124,CID2636,Mumbai,RID48,Restaurant_139,Mexican,568.28,30,3.7,DID4441,4.4,20.8,4.18,,Yes,CAM17,UPI,Cancelled,No,1/6/2023 4:00
OID100125,CID8257,Pune,RID21,Restaurant_73,Italian,748.01,22,4.3,DID2472,3,13.1,3.61,268,No,CAM4,Net Banking,On Time,No,1/6/2023 5:00
OID100126,CID4133,Hyderabad,RID89,Restaurant_47,Fast Food,429.42,23,3.5,DID1550,3.4,24,4.78,301,No,CAM17,Wallet,Late,No,1/6/2023 6:00
OID100127,CID3115,Mumbai,RID31,Restaurant_125,Italian,264.39,22,2.9,DID3783,4.7,21.2,6.09,152,Yes,CAM5,Net Banking,On Time,No,1/6/2023 7:00
OID100128,CID8597,Lucknow,RID11,Restaurant_79,Bakery,167.66,48,4.6,DID4002,4.8,14.2,3.97,131,No,CAM1,Net Banking,Cancelled,Yes,1/6/2023 8:00
OID100129,CID1811,Hyderabad,RID4,Restaurant_7,Mexican,438.7,32,3.8,DID2358,4.8,18.3,5.65,156,Yes,CAM19,UPI,Late,Yes,1/6/2023 9:00
OID100130,CID6797,Surat,RID36,Restaurant_98,Street Food,565.58,39,3.7,DID4595,4.5,15.3,1.72,309,No,CAM13,Cash,On Time,No,1/6/2023 10:00
OID100131,CID6999,Kolkata,RID98,Restaurant_41,Street Food,471.28,50,4,DID2965,4.2,9.6,6.28,181,No,CAM16,Credit Card,Late,No,1/6/2023 11:00
OID100132,CID1459,Indore,RID1,Restaurant_131,Bakery,399.64,5,4.6,DID2895,4.8,21.7,3.59,112,No,CAM19,UPI,On Time,Yes,1/6/2023 12:00
OID100133,CID4778,Bangalore,RID126,Restaurant_43,Thai,311.61,47,4.2,DID2824,4.3,11.2,3.56,117,No,CAM2,Net Banking,Late,No,1/6/2023 13:00
OID100134,CID2077,Pune,RID113,Restaurant_129,Thai,236.18,33,2.6,DID2469,4.9,15.8,5.3,128,No,CAM10,Cash,Late,No,1/6/2023 14:00
OID100135,CID1788,Bangalore,RID194,Restaurant_84,South Indian,525.21,37,3.4,DID4173,2.6,19.9,5.41,143,Yes,CAM6,Net Banking,On Time,Yes,1/6/2023 15:00
OID100136,CID1159,Kolkata,RID43,Restaurant_1,Thai,537.07,22,,DID2251,4.8,23.8,4.28,88,No,CAM5,Credit Card,Cancelled,Yes,1/6/2023 16:00
OID100137,CID7433,Delhi,RID18,Restaurant_114,Continental,168.14,23,3.7,DID2994,3.9,9.1,2.72,248,Yes,CAM15,Net Banking,Cancelled,Yes,1/6/2023 17:00
OID100138,CID5716,Bangalore,RID66,Restaurant_42,Continental,638.48,38,4.8,DID3259,2.8,14.7,3.54,185,No,CAM3,Credit Card,Late,No,1/6/2023 18:00
OID100139,CID4542,Bangalore,RID50,Restaurant_89,Biryani,486.11,61,4.4,DID1445,3,18.4,4.69,243,No,CAM3,UPI,Late,Yes,1/6/2023 19:00
OID100140,CID5981,Mumbai,RID161,Restaurant_81,Italian,609.94,44,4,DID1719,4.6,21.2,5.48,16,No,CAM8,UPI,Cancelled,Yes,1/6/2023 20:00
OID100141,CID1199,Kolkata,RID161,Restaurant_58,Mexican,198.68,47,3,DID3644,3.8,23.7,2.85,286,Yes,CAM7,Cash,Cancelled,No,1/6/2023 21:00
OID100142,CID4330,Lucknow,RID65,Restaurant_48,Bakery,195.13,30,2.9,DID3484,5,8,3.22,193,No,CAM5,Cash,Late,Yes,1/6/2023 22:00
OID100143,CID2941,Indore,RID179,Restaurant_4,Mexican,377.65,25,3.9,DID1335,2.8,18.7,5.03,240,No,CAM6,Net Banking,On Time,Yes,1/6/2023 23:00
OID100144,CID1049,Delhi,RID134,Restaurant_95,Biryani,475.42,23,3.3,DID4447,3.5,8.1,4.33,,No,CAM17,Credit Card,On Time,Yes,1/7/2023 0:00
OID100145,CID5545,Jaipur,RID99,Restaurant_178,Street Food,669.45,26,4.4,DID2149,3.3,21.4,4.79,229,Yes,CAM17,Credit Card,Late,Yes,1/7/2023 1:00
OID100146,CID6705,Indore,RID146,Restaurant_36,Thai,505.91,7,4.3,DID4517,3.8,10.5,0.5,369,Yes,CAM20,Net Banking,Late,No,1/7/2023 2:00
OID100147,CID3065,Jaipur,RID171,Restaurant_138,Chinese,363.6,23,2.9,DID4385,4.1,23.2,3.91,50,Yes,CAM17,Cash,Late,Yes,1/7/2023 3:00
OID100148,CID1514,Ahmedabad,RID98,Restaurant_93,Chinese,246.04,25,4.1,DID1573,4.2,10.6,6.21,175,No,CAM11,Wallet,Late,No,1/7/2023 4:00
